구분,서울,부산,대구,인천,광주,대전,울산,경기,강원,충북,충남,전북,전남,경북,경남,제주,세종
2025년08월23일,1720.51,1654.83,1633.32,1648.77,1645.93,1642.37,1633.31,1659.93,1679.73,1666.55,1668.89,1654.17,1668.69,1655.63,1654.48,1709.12,1649.31
2025년08월24일,1721.3,1654.47,1633.07,1648.71,1645.48,1641.97,1633.45,1659.73,1679.62,1666.71,1668.87,1654.08,1668.66,1653.09,1654.24,1708.39,1649.7
2025년08월25일,1728.33,1654.27,1633.05,1649.3,1645.61,1641.53,1635.46,1660.12,1679.16,1666.66,1668.51,1653.75,1668.22,1655.56,1654.5,1708.34,1649.78
2025년08월26일,1728,1654.4,1632.81,1649.8,1645.39,1641.5,1636.21,1660.03,1679.02,1666.56,1668.46,1653.94,1668.04,1655.55,1654.24,1707.72,1649.7
2025년08월27일,1726.96,1652.84,1632.24,1650.55,1644.24,1641.19,1636.39,1659.84,1679.1,1666.11,1668.16,1653.64,1667.61,1655.18,1653.86,1707.13,1649.39
2025년08월28일,1726.5,1652.39,1632.44,1650.26,1643.92,1641.16,1636.7,1659.2,1679.1,1665.85,1667.94,1653.32,1667.26,1655.04,1654.07,1707.04,1648.53
2025년08월29일,1725.23,1651.36,1631.85,1650.07,1643.97,1640.88,1636.31,1658.58,1678.73,1665.28,1667.63,1653.3,1667.41,1654.94,1653.85,1707.09,1648.22
2025년08월30일,1718.41,1650.74,1631.39,1648.79,1643.5,1640.71,1635.6,1657.77,1678.53,1665.08,1667.48,1653.15,1667.11,1655.11,1653.73,1706.73,1648.06
2025년08월31일,1719.64,1650.73,1630.08,1648.75,1643.63,1640.5,1635.22,1657.66,1678.31,1664.74,1667.82,1652.94,1667.21,1655.05,1653.32,1706.49,1647.91
2025년09월01일,1725.09,1650.7,1630.84,1648.74,1643.1,1640.23,1635.05,1657.48,1677.79,1664.68,1667.04,1652.46,1666.83,1654.79,1653.65,1706.9,1648.06
2025년09월02일,1722.62,1649.88,1630.41,1647.96,1642.83,1639.66,1634.78,1657,1677.65,1664.52,1666.87,1652.5,1666.69,1654.7,1653.16,1707.13,1647.75
2025년09월03일,1721.84,1649.44,1631.07,1647.81,1642.49,1639.43,1634.81,1656.55,1677.36,1664.72,1666.81,1652.68,1666.22,1654.48,1652.58,1706.62,1646.95
2025년09월04일,1720.97,1649.16,1630.37,1647.71,1642.44,1639.23,1634.79,1656.4,1677.66,1664.95,1666.56,1652.39,1666.27,1654.35,1652.32,1707.07,1646.64
2025년09월05일,1719.8,1648.95,1630.03,1647.28,1641.91,1638.81,1634.11,1655.98,1677.61,1664.96,1666.33,1652.79,1666.21,1654.13,1652.28,1707.14,1646.95
2025년09월06일,1716.04,1648.73,1629.61,1646.04,1642.52,1638.44,1634.19,1655.19,1677.92,1664.7,1666.56,1652.76,1666.04,1653.96,1651.69,1708.63,1646.29
2025년09월07일,1717.18,1648.51,1629.64,1645.83,1642.51,1638.49,1634.28,1655.44,1677.86,1664.49,1666.67,1652.72,1665.83,1654.11,1651.73,1709.14,1646.29
2025년09월08일,1721.55,1647.54,1629.92,1646.99,1642.64,1638.01,1634.46,1655.95,1677.39,1664.91,1666.47,1652.65,1665.86,1654.21,1652.19,1709.74,1647.11
2025년09월09일,1721.76,1647.91,1629.09,1646.79,1642.75,1637.66,1633.36,1656.3,1677.93,1664.7,1666.27,1652.61,1666,1653.92,1651.9,1715.35,1646.02
2025년09월10일,1721.81,1647.32,1629.08,1646.63,1643.17,1638,1633.17,1656.22,1677.33,1664.61,1666.45,1652.35,1666,1653.67,1652.11,1718.23,1646
2025년09월11일,1721.07,1646.66,1628.91,1647.32,1643.57,1638.57,1631.95,1656.19,1677.51,1664.3,1666.6,1652.31,1665.76,1653.96,1652.15,1718.3,1646.16
2025년09월12일,1720.5,1645.9,1628.45,1646.13,1643.17,1638.82,1631.4,1656.03,1677.63,1664.23,1666.05,1651.97,1665.52,1653.67,1652.09,1718.33,1645.84
2025년09월13일,1716.07,1645.27,1627.8,1644.95,1643.21,1638.79,1631.31,1655.43,1677.62,1663.88,1666.26,1652.08,1665.38,1651.12,1651.79,1718.28,1646.16
2025년09월14일,1716.69,1645.49,1627.45,1645.01,1643.5,1638.17,1631.26,1655.47,1677.61,1664.36,1666.14,1652.1,1665.33,1653.56,1651.93,1718.47,1646.16
2025년09월15일,1721.55,1645.17,1627.54,1646.84,1643.59,1638.29,1630.9,1656.3,1677.83,1664.8,1665.66,1652.1,1665.29,1653.7,1651.71,1718.45,1646.16
2025년09월16일,1720.69,1644.65,1627.63,1646.74,1643.36,1638.66,1630.67,1656.08,1677.59,1664.71,1665.71,1652.13,1665,1653.45,1652.07,1713.42,1645.84
2025년09월17일,1721.03,1645.76,1628.22,1648.14,1645.04,1638.75,1630.83,1656.29,1677.59,1664.38,1665.89,1652.53,1665.15,1653.73,1652.58,1709.01,1646.47
2025년09월18일,1721.08,1645.83,1628.53,1650.98,1645.07,1638.87,1631.09,1656.83,1677.98,1664.81,1665.95,1652.73,1664.92,1653.81,1652.64,1707.61,1645.69
2025년09월19일,1721.61,1645.7,1628.73,1652.57,1645.21,1639.18,1630.28,1656.93,1678.28,1664.4,1665.93,1652.98,1665.12,1653.72,1653.18,1707.39,1646.78
2025년09월20일,1717.67,1645.58,1628.27,1651.51,1645.15,1639.32,1631.11,1656.31,1678.44,1664.23,1666.23,1653.24,1665.09,1653.94,1653.06,1706.88,1646.86
2025년09월21일,1718.39,1645.15,1628.53,1651.75,1645.5,1638.94,1631.33,1656.34,1678.47,1664.1,1666.49,1653.41,1665.13,1654.06,1653.04,1706.88,1646.39
2025년09월22일,1723.93,1645.05,1629.04,1653.35,1645.18,1639.63,1630.36,1657.03,1678.67,1665,1666.21,1653.24,1664.93,1653.83,1653.21,1706.93,1646.86
2025년09월23일,1723.66,1644.31,1628.58,1653.5,1645.19,1638.48,1631.01,1657.21,1678.6,1664.92,1666.33,1652.96,1664.87,1653.6,1653.27,1706.68,1646.39
2025년09월24일,1722.85,1644.14,1628.34,1653.97,1645.19,1637.89,1630.82,1657.13,1678.46,1664.65,1666.14,1653.15,1665.1,1653.51,1653.45,1706.22,1645.4
2025년09월25일,1722.31,1644.09,1628.48,1654.18,1645.53,1638.68,1630.73,1657.48,1678.69,1664.76,1666.26,1653.27,1665,1653.43,1653.25,1706.26,1646.08
2025년09월26일,1722.01,1643.69,1628.87,1653.06,1646.54,1639.32,1630.87,1657.61,1678.71,1664.44,1666.46,1653.79,1665.4,1653.55,1653.26,1706.09,1646.23
2025년09월27일,1717.64,1643.59,1629.4,1653,1646.48,1639.8,1631.06,1657.4,1679.03,1664.04,1666.73,1654.02,1665,1651.23,1653.13,1705.95,1646.08
2025년09월28일,1718.84,1643.67,1629.36,1651.95,1646.61,1639.91,1631.02,1657.56,1678.74,1664.25,1667.06,1654.13,1665.25,1654.19,1653.2,1705.84,1645.77
2025년09월29일,1723.74,1644.02,1630.28,1652.47,1645.94,1640.34,1630.99,1658.62,1679.14,1665.2,1667.33,1654.25,1665.63,1654.75,1653.7,1705.91,1647.33
2025년09월30일,1723.82,1644.16,1630.44,1653.24,1646.5,1642.3,1631.15,1658.71,1679.24,1665.57,1667.43,1654.85,1665.88,1655.12,1653.69,1716.06,1648.31
2025년10월01일,1724.1,1645.43,1630.21,1653.18,1646.48,1643.04,1631.16,1658.86,1679.43,1665.56,1667.11,1655.4,1666.55,1654.88,1653.94,1723.36,1648.97
2025년10월02일,1723.78,1645.3,1631.5,1653.08,1646.86,1642.98,1631.52,1659.13,1679,1665.98,1667.49,1656.15,1667.04,1655.36,1653.98,1725.01,1649.59
2025년10월03일,1723.79,1646.01,1632.56,1653.77,1647.44,1645.07,1631.97,1659.3,1679.16,1666.35,1668.36,1655.98,1667.26,1656.26,1654.11,1724.68,1648.81
2025년10월04일,1719.57,1646.37,1632.66,1654.66,1647.85,1645.68,1632.29,1659.36,1679.51,1666.1,1668.65,1655.95,1667.62,1656.59,1653.82,1725.12,1648.81
2025년10월05일,1719.57,1646.21,1632.84,1654.73,1647.74,1646.11,1633.14,1659.62,1679.48,1666.31,1668.75,1656.02,1667.81,1656.9,1654.1,1725.12,1648.81
2025년10월06일,1725.26,1646.42,1633.67,1654.16,1648.35,1646.29,1633.44,1660.49,1679.78,1667.29,1668.93,1656.7,1668.11,1657.14,1654.58,1725.48,1648.84
2025년10월07일,1725.28,1645.96,1633.73,1654.29,1648.62,1645.72,1634.02,1660.84,1680.08,1667.23,1668.82,1656.88,1667.9,1657.01,1654.75,1724.5,1650.03
2025년10월08일,1725.22,1646.29,1633.72,1654.17,1649.04,1645.69,1633.03,1660.79,1680.28,1667.05,1668.99,1657.36,1668.25,1657.1,1655.05,1726.19,1649.46
2025년10월09일,1724.52,1646.04,1633.68,1653.58,1649.79,1645.52,1631.93,1660.36,1680.25,1666.38,1668.63,1657.57,1668.15,1656.89,1654.37,1724.86,1649.65
2025년10월10일,1724.21,1646.24,1634.09,1654.26,1648.4,1645.13,1632.91,1660.4,1680.34,1667.2,1668.96,1657.71,1668.3,1657.5,1654.98,1724.6,1648.33
2025년10월11일,1718.31,1645.87,1633.97,1653.62,1648.08,1645.15,1633.93,1659.6,1680.54,1666.93,1669.09,1657.17,1668.15,1655.16,1654.82,1724.7,1648.43
2025년10월12일,1718.85,1645.58,1633.75,1653.48,1648.07,1645.32,1633.87,1659.51,1680.28,1666.87,1669.34,1657.03,1667.95,1657.79,1654.69,1724.6,1648.27
2025년10월13일,1723.8,1645.34,1633.37,1653.52,1648.19,1645.17,1634.49,1660.17,1680.45,1666.6,1669.25,1657.1,1667.84,1657.96,1654.31,1724.88,1647.95
2025년10월14일,1723.72,1644.54,1633.6,1652.35,1647.98,1644.66,1634.43,1659.52,1680.29,1666.87,1669.18,1656.82,1668.14,1657.66,1654.06,1724.77,1648.98
2025년10월15일,1723.18,1643.28,1632.96,1651.2,1648.12,1644.64,1634.06,1658.8,1679.82,1666.31,1668.68,1656.5,1668.21,1657.4,1653.82,1721.78,1647.9
2025년10월16일,1722.78,1642.68,1632.12,1651.16,1647.22,1643.97,1633.59,1658.35,1679.79,1666.45,1668.59,1656.39,1667.57,1657.27,1653.56,1719.69,1647.46
2025년10월17일,1722.1,1641.7,1631.96,1650.67,1646.86,1641.76,1633.69,1657.65,1679.57,1665.78,1668.21,1656.07,1667.51,1657.05,1653.05,1718.99,1647.73
2025년10월18일,1717.04,1641.55,1631.69,1649.95,1646.89,1643.37,1633.09,1656.74,1679.28,1665.38,1668.66,1655.95,1667.57,1656.88,1652.95,1718.53,1647.73
2025년10월19일,1717.41,1640.85,1631.82,1649.74,1647.11,1643.89,1632.75,1656.8,1679.54,1665.37,1668.75,1655.6,1667.31,1656.74,1652.59,1718.48,1647.58
2025년10월20일,1722.92,1639.78,1631.98,1649.87,1646.43,1642.94,1631.97,1657.22,1679.07,1665.23,1668.8,1655.64,1667.61,1656.48,1651.93,1718.32,1648.05
2025년10월21일,1722.32,1639.79,1631.7,1650.4,1646.2,1642.74,1631.79,1657.04,1678.86,1665.39,1668.86,1655.49,1667.93,1656.28,1651.28,1718.31,1647.73
2025년10월22일,1721.77,1638.7,1631.66,1650.54,1646.87,1642.69,1631.74,1657.3,1678.81,1665.61,1668.19,1655.47,1667.73,1656.25,1650.84,1718.39,1647.58
2025년10월23일,1721.35,1638.82,1631.92,1651.62,1647.09,1643.39,1631.74,1657.25,1678.95,1665.74,1668.3,1655.54,1667.58,1656.57,1650.58,1718.28,1647.89
